"SUPERFICIES ( hectares )","99.1","100.0%"
"dont    
. voirie","29.5","29.8%"
". voies d'eau","0.0","0.0%"
". espaces verts publics","0.4","0.4%"
". domaine ferroviaire","0.0","0.0%"
". équipements","5.6","5.6%"
". tissu urbain ordinaire (habitation, bureaux…)","63.7","64.2%"
