"JAVEL","",""
"SUPERFICIES ( hectares )","260.9","100.0%"
"dont    
. voirie","52.8","20.2%"
". voies d'eau","21.5","8.2%"
". espaces verts publics","26.3","10.1%"
". domaine ferroviaire","7.7","2.9%"
". équipements","69.0","26.4%"
". tissu urbain ordinaire (habitation, bureaux…)","83.7","32.1%"
