"SUPERFICIES ( hectares )","849.7","100.0%"
"dont    
. voirie","198.2","23.3%"
". voies d'eau","32.5","3.8%"
". espaces verts publics","55.4","6.5%"
". domaine ferroviaire","39.2","4.6%"
". équipements","160.3","18.9%"
". tissu urbain ordinaire (habitation, bureaux…)","364.1","42.9%"
