"ARCHIVES","",""
"SUPERFICIES ( hectares )","36.8","100.0%"
"dont    
. voirie","7.1","19.4%"
". voies d'eau","0.0","0.0%"
". espaces verts publics","0.8","2.3%"
". domaine ferroviaire","0.0","0.0%"
". équipements","5.7","15.6%"
". tissu urbain ordinaire (habitation, bureaux…)","23.1","62.7%"
