"Quartier 6","1954","","1962","","1968","","1975","","1982","","1990","","1999","","évolution en %",""
"VIVIENNE","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"PARC DE LOGEMENTS","","","","","","","","","","","","","","","",""
"Total :","3 248","100.0","3 077","100.0","2 577","100.0","2 195","100.0","2 172","100.0","2 700","100.0","2 276","100.0","24.3","-15.7"
"Résidences principales","-","","2 972","96.6","2 497","96.9","2 025","92.3","1 756","80.8","1 714","63.5","1 733","76.1","-2.4","1.1"
"Logements vacants (1)","-","","44","1.4","27","1.0","125","5.7","208","9.6","652","24.1","290","12.7","213.5","-55.5"
"Résidences secondaires","-","","61","2.0","53","2.1","45","2.1","208","9.6","42","1.6","92","4.0","-79.8","119.0"
"Logements occasionnels (2)","-","","-","","-","","-","","-","","292","10.8","161","7.1","","-44.9"
"Autres","-","","-","","-","","-","","-","","-","","-","","",""
"RÉSIDENCES PRINCIPALES","-","","2 972","100.0","2 497","100.0","2 025","100.0","1 756","100.0","1 714","100.0","1 733","100.0","-2.4","1.1"
"EPOQUE D'ACHEVEMENT","","","","","","","","","","","","","","","",""
". Avant 1915","0","","2 875","96.7","2 272","91.0","1 545","76.3","1 648","93.8","1 594","93.0","1 538","88.7","-3.3","-3.5"
". 1915 à 1948","0","","69","2.3","166","6.6","455","22.5","80","4.6","62","3.6","62","3.6","-22.5","0.0"
". 1949 à 1981","0","","28","0.9","59","2.4","25","1.2","28","1.6","44","2.6","54","3.1","57.1","22.7"
". 1982 à 1989","-","","-","","-","","-","","-","","14","0.8","25","1.4","","78.6"
". 1990 à 1999","-","","-","","-","","-","","-","","-","","54","3.1","",""
". Non déterminée","0","","-","","-","","-","","-","","-","","-","","",""
"CONFORT","","","","","","","","","","","","","","","",""
". ni WC ni douche","-","","-","","-","","-","","424","24.1","244","14.2","92","5.3","-42.5","-62.3"
". sans WC ou sans douche","-","","-","","-","","-","","388","22.1","183","10.7","163","9.4","-52.8","-10.9"
"Total sans confort","-","","-","","-","","-","","812","46.2","427","24.9","255","14.7","-47.4","-40.3"
". WC et douche, sans chauffage central","-","","-","","-","","-","","372","21.2","308","18.0","158","9.1","-17.2","-48.7"
". WC et douche, avec chauffage central","-","","-","","-","","-","","572","32.6","979","57.1","1 320","76.2","71.2","34.8"
"Total confort","-","","-","","-","","-","","944","53.8","1 287","75.1","1 478","85.3","36.3","14.8"
"Avec WC intérieurs","1 306","","1 028","34.6","1 049","42.0","1 090","53.8","1 056","60.1","1 342","78.3","1 520","87.7","27.1","13.3"
"Avec baignoire ou douche","469","","677","22.8","896","35.9","1 065","52.6","1 220","69.5","1 415","82.6","1 599","92.3","16.0","13.0"
