"Quartier 47","1954","","1962","","1968","","1975","","1982","","1990","","1999","","évolution en %",""
"BERCY","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"PARC DE LOGEMENTS","","","","","","","","","","","","","","","",""
"Total :","4 212","100.0","4 412","100.0","4 291","100.0","4 285","100.0","4 592","100.0","4 880","100.0","6 803","100.0","6.3","39.4"
"Résidences principales","-","","4 258","96.5","3 998","93.2","3 805","88.8","4 064","88.5","4 190","85.9","6 195","91.1","3.1","47.9"
"Logements vacants (1)","-","","80","1.8","155","3.6","365","8.5","376","8.2","429","8.8","387","5.7","14.1","-9.8"
"Résidences secondaires","-","","74","1.7","138","3.2","115","2.7","152","3.3","111","2.3","73","1.1","-27.0","-34.2"
"Logements occasionnels (2)","-","","-","","-","","-","","-","","150","3.1","148","2.2","","-1.3"
"Autres","-","","-","","-","","-","","-","","-","","-","","",""
"RÉSIDENCES PRINCIPALES","-","","4 258","100.0","3 998","100.0","3 805","100.0","4 064","100.0","4 190","100.0","6 195","100.0","3.1","47.9"
"EPOQUE D'ACHEVEMENT","","","","","","","","","","","","","","","",""
". Avant 1915","0","","3 582","84.1","3 179","79.5","2 255","59.3","1 496","36.8","1 733","41.4","1 731","27.9","15.8","-0.1"
". 1915 à 1948","0","","422","9.9","503","12.6","715","18.8","1 452","35.7","619","14.8","526","8.5","-57.4","-15.0"
". 1949 à 1981","0","","254","6.0","316","7.9","835","21.9","1 116","27.5","1 157","27.6","1 201","19.4","3.7","3.8"
". 1982 à 1989","-","","-","","-","","-","","-","","681","16.3","727","11.7","","6.8"
". 1990 à 1999","-","","-","","-","","-","","-","","-","","2 010","32.4","",""
". Non déterminée","0","","-","","-","","-","","-","","-","","-","","",""
"CONFORT","","","","","","","","","","","","","","","",""
". ni WC ni douche","-","","-","","-","","-","","744","18.3","325","7.8","107","1.7","-56.3","-67.1"
". sans WC ou sans douche","-","","-","","-","","-","","664","16.3","382","9.1","272","4.4","-42.5","-28.8"
"Total sans confort","-","","-","","-","","-","","1 408","34.6","707","16.9","379","6.1","-49.8","-46.4"
". WC et douche, sans chauffage central","-","","-","","-","","-","","900","22.1","674","16.1","230","3.7","-25.1","-65.9"
". WC et douche, avec chauffage central","-","","-","","-","","-","","1 756","43.2","2 809","67.0","5 586","90.2","60.0","98.9"
"Total confort","-","","-","","-","","-","","2 656","65.4","3 483","83.1","5 816","93.9","31.1","67.0"
"Avec WC intérieurs","1 760","","1 913","44.9","2 005","50.2","2 450","64.4","3 056","75.2","3 708","88.5","5 910","95.4","21.3","59.4"
"Avec baignoire ou douche","287","","834","19.6","1 193","29.8","2 005","52.7","2 924","71.9","3 640","86.9","5 994","96.8","24.5","64.7"
