"Quartier 34","1954","","1962","","1968","","1975","","1982","","1990","","1999","","évolution en %",""
"CHAUSSEE D'ANTIN","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"PARC DE LOGEMENTS","","","","","","","","","","","","","","","",""
"Total :","4 522","100.0","4 117","100.0","3 804","100.0","3 140","100.0","3 192","100.0","2 827","100.0","2 663","100.0","-11.4","-5.8"
"Résidences principales","-","","4 057","98.5","3 650","96.0","2 885","91.9","2 624","82.2","2 209","78.1","1 985","74.5","-15.8","-10.1"
"Logements vacants (1)","-","","17","0.4","77","2.0","185","5.9","340","10.7","305","10.8","364","13.7","-10.3","19.3"
"Résidences secondaires","-","","43","1.0","77","2.0","70","2.2","228","7.1","61","2.2","132","5.0","-73.2","116.4"
"Logements occasionnels (2)","-","","-","","-","","-","","-","","252","8.9","182","6.8","","-27.8"
"Autres","-","","-","","-","","-","","-","","-","","-","","",""
"RÉSIDENCES PRINCIPALES","-","","4 057","100.0","3 650","100.0","2 885","100.0","2 624","100.0","2 209","100.0","1 985","100.0","-15.8","-10.1"
"EPOQUE D'ACHEVEMENT","","","","","","","","","","","","","","","",""
". Avant 1915","0","","3 910","96.4","3 590","98.4","2 630","91.2","2 140","81.6","1 999","90.5","1 678","84.5","-6.6","-16.1"
". 1915 à 1948","0","","138","3.4","56","1.5","255","8.8","436","16.6","183","8.3","174","8.8","-58.0","-4.9"
". 1949 à 1981","0","","9","0.2","4","0.1","0","0.0","48","1.8","27","1.2","8","0.4","-43.8","-70.4"
". 1982 à 1989","-","","-","","-","","-","","-","","0","0.0","16","0.8","",""
". 1990 à 1999","-","","-","","-","","-","","-","","-","","109","5.5","",""
". Non déterminée","0","","-","","-","","-","","-","","-","","-","","",""
"CONFORT","","","","","","","","","","","","","","","",""
". ni WC ni douche","-","","-","","-","","-","","680","25.9","267","12.1","94","4.7","-60.7","-64.8"
". sans WC ou sans douche","-","","-","","-","","-","","452","17.2","284","12.9","161","8.1","-37.2","-43.3"
"Total sans confort","-","","-","","-","","-","","1 132","43.1","551","24.9","255","12.8","-51.3","-53.7"
". WC et douche, sans chauffage central","-","","-","","-","","-","","488","18.6","393","17.8","145","7.3","-19.5","-63.1"
". WC et douche, avec chauffage central","-","","-","","-","","-","","1 004","38.3","1 265","57.3","1 585","79.8","26.0","25.3"
"Total confort","-","","-","","-","","-","","1 492","56.9","1 658","75.1","1 730","87.2","11.1","4.3"
"Avec WC intérieurs","2 017","","1 728","42.6","1 545","42.3","1 700","58.9","1 660","63.3","1 731","78.4","1 769","89.1","4.3","2.2"
"Avec baignoire ou douche","994","","1 237","30.5","1 422","39.0","1 685","58.4","1 780","67.8","1 869","84.6","1 852","93.3","5.0","-0.9"
