"Quartier 35","1954","","1962","","1968","","1975","","1982","","1990","","1999","","","évolution en %"
"FAUBOURG MONTMARTRE","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"POPULATION TOTALE","18 151","100.0","16 308","100.0","14 756","100.0","12 455","100.0","10 636","100.0","9 704","100.0","9 233","100.0","-8.8","-4.9"
"POPULATION PAR SEXE","","","","","","","","","","","","","","","",""
". Hommes","8 116","44.7","7 431","45.6","6 811","46.2","5 860","47.0","5 016","47.2","4 610","47.5","4 481","48.5","-8.1","-2.8"
". Femmes","10 035","55.3","8 877","54.4","7 945","53.8","6 595","53.0","5 620","52.8","5 094","52.5","4 752","51.5","-9.4","-6.7"
"ACTIVITÉ","","","","","","","","","","","","","","","",""
". Actifs hommes","5 768","31.8","4 845","29.7","4 307","29.2","3 660","29.4","3 060","28.7","2 803","28.9","2 684","33.7","-8.4","-4.2"
". Actifs femmes","4 822","26.6","4 400","27.0","3 848","26.1","2 975","23.9","2 596","24.4","2 409","24.8","2 453","30.8","-7.2","1.8"
". Actifs total","10 590","58.4","9 245","56.7","8 155","55.3","6 635","53.3","5 656","53.1","5 212","53.7","5 137","64.5","-7.9","-1.4"
". Inactifs hommes","2 347","12.9","2 586","15.9","2 504","17.0","2 200","17.7","1 968","18.5","1 807","18.6","1 135","14.2","-8.2","-37.2"
". Inactifs femmes","5 209","28.7","4 477","27.5","4 097","27.8","3 620","29.1","3 024","28.4","2 685","27.7","1 694","21.3","-11.2","-36.9"
". Inactifs total","7 556","41.6","7 063","43.3","6 601","44.7","5 820","46.7","4 992","46.9","4 492","46.3","2 829","35.5","-10.0","-37.0"
"NATIONALITÉ","","","","","","","","","","","","","","","",""
". Français","16 247","89.5","14 270","87.5","12 463","84.5","9 840","79.0","8 392","78.9","7 702","79.4","7 849","85.0","-8.2","1.9"
". Étrangers","1 904","10.5","2 038","12.5","2 293","15.5","2 615","21.0","2 244","21.1","2 002","20.6","1 383","15.0","-10.8","-30.9"
"TRANCHES D'ÂGE","","","","","","","","","","","","","","","",""
".  0 à 4  ans","864","4.8","546","3.3","558","3.8","595","4.8","380","3.6","465","4.8","473","5.1","22.4","1.7"
".  5 à 14 ans","1 702","9.4","1 479","9.1","1 132","7.7","860","6.9","800","7.5","864","8.9","794","8.6","8.0","-8.1"
". 15 à 24 ans","2 155","11.9","2 231","13.7","2 426","16.4","1 775","14.3","1 380","13.0","1 276","13.1","1 156","12.5","-7.5","-9.4"
". 25 à 34 ans","3 063","16.9","2 381","14.6","2 192","14.9","1 985","15.9","2 012","18.9","1 891","19.5","2 075","22.5","-6.0","9.7"
". 35 à 64 ans","8 313","45.8","7 364","45.2","6 054","41.0","4 505","36.2","3 636","34.2","3 566","36.7","3 476","37.6","-1.9","-2.5"
". 65 à 74 ans","1 453","8.0","1 514","9.3","1 581","10.7","1 670","13.4","1 244","11.7","689","7.1","581","6.3","-44.6","-15.7"
". 75 ans et plus","596","3.3","793","4.9","813","5.5","1 065","8.6","1 184","11.1","953","9.8","678","7.3","-19.5","-28.9"
