"VILLE"
"LAUSANNE
SUISSE"
"CHATEAU
THIERRY"
"ETREAUPONT"
"OIGNY
EN
VALOIS"
"SOISSONS"
"CERILLY"
"CUSSET"
"MONTLUCON"
"MOULINS"
"YZEURE"
"MANOSQUE"
"PTE
MONACO"
"BIOT"
"GRASSE"
"N I C E"
"ANTONY"
"HAYB ES"
"MARGUT"
"SUR
SEINE
ROMILLY"
"ST
PARRES
LES
VAUDES"
"TROYES"
"MARSEILLE"
"MARTIGUES"
"BRETTEVILLE
S
ODON"
"CAEN"
"HEROUVILLE
CLAIR
ST"
