"ARSENAL","",""
"SUPERFICIES ( hectares )","48.7","100.0%"
"dont    
. voirie","13.5","27.7%"
". voies d'eau","7.1","14.6%"
". espaces verts publics","1.5","3.0%"
". domaine ferroviaire","0.2","0.3%"
". équipements","7.5","15.3%"
". tissu urbain ordinaire (habitation, bureaux…)","19.0","39.0%"
