"Quartier 65","","1954","","1962","","1968","","1975","","1982","","1990","","1999","","évolution en %",""
"TERNES","effectif","","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"MÉNAGES","","-","","23 700","100.0","22 881","100.0","22 275","100.0","21 476","100.0","21 054","100.0","21 051","100.0","-2.0","0.0"
"TAILLE DES MÉNAGES","","","","","","","","","","","","","","","","",""
". 1 personne","","-","","8 884","37.5","9 327","40.8","10 565","47.4","10 996","51.2","10 756","51.1","11 097","52.7","-2.2","3.2"
". 2 personnes","","-","","7 097","29.9","6 769","29.6","6 200","27.8","5 680","26.4","5 486","26.1","5 564","26.4","-3.4","1.4"
". 3 personnes","","-","","3 645","15.4","3 263","14.3","2 775","12.5","2 352","11.0","2 208","10.5","2 071","9.8","-6.1","-6.2"
". 4 personnes","","-","","2 075","8.8","1 921","8.4","1 670","7.5","1 676","7.8","1 685","8.0","1 486","7.1","0.5","-11.8"
". 5 personnes et plus","","-","","1 999","8.4","1 601","7.0","1 065","4.8","772","3.6","919","4.4","833","4.0","19.0","-9.4"
"MÉNAGES SELON LE NOMBRE","","","","","","","","","","","","","","","","",""
"D'ENFANTS DE 0 A 16 ANS","","","","","","","","","","","","","","","","",""
". sans enfant","","-","","-","","18 701","81.7","18 475","82.9","17 884","83.3","17 405","82.7","17 630","83.7","-2.7","1.3"
". 1 enfant","","-","","-","","2 369","10.4","2 115","9.5","1 916","8.9","1 850","8.8","1 818","8.6","-3.4","-1.7"
". 2 enfants","","-","","-","","1 229","5.4","1 260","5.7","1 264","5.9","1 289","6.1","1 125","5.3","2.0","-12.7"
". 3 enfants ou plus","","-","","-","","582","2.5","425","1.9","412","1.9","510","2.4","478","2.3","23.8","-6.3"
"POPULATION DES MÉNAGES","","56 086","","53 781","","49 506","","43 750","","40 276","","40 000","","38 793","","-0.7","-3.0"
"Taille moyenne des ménages","","0.00","","2.27","","2.16","","1.96","","1.88","","1.90","","1.84","","1.3","-3.0"
"( nombre de personnes )","","","","","","","","","","","","","","","","",""
"Taille moyenne des résidences","","2.60","","2.65","","2.69","","2.69","","2.71","","2.73","","2.72","","1.0","-0.4"
"principales ( nombre de pièces )","","","","","","","","","","","","","","","","",""
"Nombre de personnes par pièce","","0.88","","0.86","","0.80","","0.73","","0.69","","0.69","","0.68","","0.3","-2.6"
