"Quartier 29","","1954","","1962","","1968","","1975","","1982","","1990","","1999","","évolution en %",""
"CHAMPS ELYSEES","effectif","","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"MÉNAGES","","-","","4 195","100.0","4 264","100.0","3 610","100.0","3 168","100.0","2 603","100.0","2 352","100.0","-17.8","-9.6"
"TAILLE DES MÉNAGES","","","","","","","","","","","","","","","","",""
". 1 personne","","-","","1 493","35.6","1 695","39.8","1 580","43.8","1 516","47.9","1 195","45.9","1 151","48.9","-21.2","-3.7"
". 2 personnes","","-","","1 070","25.5","1 030","24.2","940","26.0","828","26.1","716","27.5","667","28.4","-13.5","-6.8"
". 3 personnes","","-","","639","15.2","701","16.4","540","15.0","396","12.5","293","11.3","259","11.0","-26.0","-11.6"
". 4 personnes","","-","","398","9.5","379","8.9","280","7.8","272","8.6","245","9.4","186","7.9","-9.9","-24.1"
". 5 personnes et plus","","-","","595","14.2","459","10.8","270","7.5","156","4.9","154","5.9","89","3.8","-1.3","-42.2"
"MÉNAGES SELON LE NOMBRE","","","","","","","","","","","","","","","","",""
"D'ENFANTS DE 0 A 16 ANS","","","","","","","","","","","","","","","","",""
". sans enfant","","-","","-","","3 408","79.9","2 925","81.0","2 604","82.2","2 136","82.1","1 972","83.8","-18.0","-7.7"
". 1 enfant","","-","","-","","502","11.8","405","11.2","324","10.2","246","9.5","210","8.9","-24.1","-14.6"
". 2 enfants","","-","","-","","258","6.1","180","5.0","196","6.2","149","5.7","133","5.7","-24.0","-10.7"
". 3 enfants ou plus","","-","","-","","96","2.3","100","2.8","44","1.4","72","2.8","37","1.6","63.6","-48.6"
"POPULATION DES MÉNAGES","","11 922","","10 818","","9 826","","7 765","","6 304","","5 315","","4 494","","-15.7","-15.4"
