"Quartier 66","1954","","1962","","1968","","1975","","1982","","1990","","1999","","évolution en %",""
"PLAINE MONCEAU","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"PARC DE LOGEMENTS","","","","","","","","","","","","","","","",""
"Total :","21 382","100.0","22 550","100.0","21 971","100.0","22 710","100.0","22 420","100.0","22 085","100.0","22 453","100.0","-1.5","1.7"
"Résidences principales","-","","21 628","95.9","20 476","93.2","20 870","91.9","20 224","90.2","18 722","84.8","18 944","84.4","-7.4","1.2"
"Logements vacants (1)","-","","330","1.5","519","2.4","1 145","5.0","1 180","5.3","1 602","7.3","1 947","8.7","35.8","21.5"
"Résidences secondaires","-","","592","2.6","976","4.4","695","3.1","1 016","4.5","384","1.7","400","1.8","-62.2","4.2"
"Logements occasionnels (2)","-","","-","","-","","-","","-","","1 377","6.2","1 162","5.2","","-15.6"
"Autres","-","","-","","-","","-","","-","","-","","-","","",""
"RÉSIDENCES PRINCIPALES","-","","21 628","100.0","20 476","100.0","20 870","100.0","20 224","100.0","18 722","100.0","18 944","100.0","-7.4","1.2"
"EPOQUE D'ACHEVEMENT","","","","","","","","","","","","","","","",""
". Avant 1915","0","","15 140","70.0","12 358","60.4","12 405","59.4","12 128","60.0","11 104","59.3","10 760","56.8","-8.4","-3.1"
". 1915 à 1948","0","","5 788","26.8","6 982","34.1","5 905","28.3","5 380","26.6","4 655","24.9","4 832","25.5","-13.5","3.8"
". 1949 à 1981","0","","700","3.2","1 136","5.5","2 560","12.3","2 716","13.4","2 831","15.1","2 905","15.3","4.2","2.6"
". 1982 à 1989","-","","-","","-","","-","","-","","132","0.7","160","0.8","","21.2"
". 1990 à 1999","-","","-","","-","","-","","-","","-","","287","1.5","",""
". Non déterminée","0","","-","","-","","-","","-","","-","","-","","",""
"CONFORT","","","","","","","","","","","","","","","",""
". ni WC ni douche","-","","-","","-","","-","","3 128","15.5","1 836","9.8","1 102","5.8","-41.3","-40.0"
". sans WC ou sans douche","-","","-","","-","","-","","1 860","9.2","1 315","7.0","1 298","6.9","-29.3","-1.3"
"Total sans confort","-","","-","","-","","-","","4 988","24.7","3 151","16.8","2 400","12.7","-36.8","-23.8"
". WC et douche, sans chauffage central","-","","-","","-","","-","","1 480","7.3","1 112","5.9","517","2.7","-24.9","-53.5"
". WC et douche, avec chauffage central","-","","-","","-","","-","","13 756","68.0","14 459","77.2","16 027","84.6","5.1","10.8"
"Total confort","-","","-","","-","","-","","15 236","75.3","15 571","83.2","16 544","87.3","2.2","6.2"
"Avec WC intérieurs","14 154","","14 357","66.4","13 584","66.3","15 355","73.6","15 764","77.9","15 917","85.0","16 740","88.4","1.0","5.2"
"Avec baignoire ou douche","10 772","","12 420","57.4","13 175","64.3","15 795","75.7","16 580","82.0","16 540","88.3","17 646","93.1","-0.2","6.7"
