"SAINT GERMAIN DES PRES","",""
"SUPERFICIES ( hectares )","28.2","100.0%"
"dont    
. voirie","6.9","24.6%"
". voies d'eau","2.1","7.4%"
". espaces verts publics","0.3","1.1%"
". domaine ferroviaire","0.0","0.0%"
". équipements","4.4","15.6%"
". tissu urbain ordinaire (habitation, bureaux…)","14.5","51.2%"
