"VAL DE GRACE","",""
"SUPERFICIES ( hectares )","70.4","100.0%"
"dont    
. voirie","15.2","21.6%"
". voies d'eau","0.0","0.0%"
". espaces verts publics","0.0","0.0%"
". domaine ferroviaire","0.1","0.2%"
". équipements","23.1","32.8%"
". tissu urbain ordinaire (habitation, bureaux…)","32.0","45.4%"
