"PALAIS ROYAL","",""
"SUPERFICIES ( hectares )","27.4","100.0%"
"dont    
. voirie","8.8","32.1%"
". voies d'eau","0.0","0.0%"
". espaces verts publics","2.1","7.7%"
". domaine ferroviaire","0.0","0.0%"
". équipements","5.0","18.1%"
". tissu urbain ordinaire (habitation, bureaux…)","11.6","42.2%"
