"Quartier 70","1954","","1962","","1968","","1975","","1982","","1990","","1999","","évolution en %",""
"CLIGNANCOURT","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"PARC DE LOGEMENTS","","","","","","","","","","","","","","","",""
"Total :","48 163","100.0","48 304","100.0","47 412","100.0","47 375","100.0","47 124","100.0","45 708","100.0","44 817","100.0","-3.0","-1.9"
"Résidences principales","-","","46 619","96.5","44 537","93.9","41 705","88.0","37 644","79.9","37 310","81.6","37 063","82.7","-0.9","-0.7"
"Logements vacants (1)","-","","862","1.8","1 549","3.3","4 125","8.7","7 792","16.5","5 424","11.9","5 987","13.4","-30.4","10.4"
"Résidences secondaires","-","","823","1.7","1 326","2.8","1 545","3.3","1 688","3.6","548","1.2","710","1.6","-67.5","29.6"
"Logements occasionnels (2)","-","","-","","-","","-","","-","","2 426","5.3","1 057","2.4","","-56.4"
"Autres","-","","-","","-","","-","","-","","-","","-","","",""
"RÉSIDENCES PRINCIPALES","-","","46 619","100.0","44 537","100.0","41 705","100.0","37 644","100.0","37 310","100.0","37 063","100.0","-0.9","-0.7"
"EPOQUE D'ACHEVEMENT","","","","","","","","","","","","","","","",""
". Avant 1915","0","","39 679","85.1","36 131","81.1","31 125","74.6","24 432","64.9","25 640","68.7","24 479","66.0","4.9","-4.5"
". 1915 à 1948","0","","5 685","12.2","6 655","14.9","6 495","15.6","8 232","21.9","6 301","16.9","6 668","18.0","-23.5","5.8"
". 1949 à 1981","0","","1 255","2.7","1 751","3.9","4 085","9.8","4 980","13.2","4 985","13.4","4 897","13.2","0.1","-1.8"
". 1982 à 1989","-","","-","","-","","-","","-","","384","1.0","327","0.9","","-14.8"
". 1990 à 1999","-","","-","","-","","-","","-","","-","","692","1.9","",""
". Non déterminée","0","","-","","-","","-","","-","","-","","-","","",""
"CONFORT","","","","","","","","","","","","","","","",""
". ni WC ni douche","-","","-","","-","","-","","6 808","18.1","3 796","10.2","1 754","4.7","-44.2","-53.8"
". sans WC ou sans douche","-","","-","","-","","-","","7 408","19.7","4 681","12.5","3 060","8.3","-36.8","-34.6"
"Total sans confort","-","","-","","-","","-","","14 216","37.8","8 477","22.7","4 814","13.0","-40.4","-43.2"
". WC et douche, sans chauffage central","-","","-","","-","","-","","10 064","26.7","8 788","23.6","3 876","10.5","-12.7","-55.9"
". WC et douche, avec chauffage central","-","","-","","-","","-","","13 364","35.5","20 045","53.7","28 373","76.6","50.0","41.5"
"Total confort","-","","-","","-","","-","","23 428","62.2","28 833","77.3","32 249","87.0","23.1","11.8"
"Avec WC intérieurs","23 049","","23 517","50.4","24 025","53.9","27 725","66.5","28 096","74.6","31 694","84.9","33 475","90.3","12.8","5.6"
"Avec baignoire ou douche","5 189","","10 341","22.2","14 401","32.3","22 490","53.9","26 196","69.6","30 653","82.2","34 083","92.0","17.0","11.2"
