"Quartier 13","","1954","","1962","","1968","","1975","","1982","","1990","","1999","","évolution en %",""
"SAINT MERRI","effectif","","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"MÉNAGES","","-","","6 484","100.0","5 653","100.0","4 405","100.0","3 844","100.0","3 707","100.0","3 869","100.0","-3.6","4.4"
"TAILLE DES MÉNAGES","","","","","","","","","","","","","","","","",""
". 1 personne","","-","","2 689","41.5","2 399","42.4","2 085","47.3","2 228","58.0","2 004","54.1","2 260","58.4","-10.1","12.8"
". 2 personnes","","-","","1 876","28.9","1 680","29.7","1 295","29.4","964","25.1","1 017","27.4","988","25.5","5.5","-2.9"
". 3 personnes","","-","","956","14.7","766","13.6","505","11.5","364","9.5","378","10.2","333","8.6","3.8","-11.9"
". 4 personnes","","-","","526","8.1","463","8.2","350","7.9","208","5.4","213","5.7","193","5.0","2.4","-9.4"
". 5 personnes et plus","","-","","437","6.7","345","6.1","170","3.9","80","2.1","95","2.6","95","2.5","18.8","0.0"
"MÉNAGES SELON LE NOMBRE","","","","","","","","","","","","","","","","",""
"D'ENFANTS DE 0 A 16 ANS","","","","","","","","","","","","","","","","",""
". sans enfant","","-","","-","","4 514","79.9","3 640","82.6","3 324","86.5","3 180","85.8","3 389","87.6","-4.3","6.6"
". 1 enfant","","-","","-","","652","11.5","480","10.9","328","8.5","312","8.4","277","7.2","-4.9","-11.2"
". 2 enfants","","-","","-","","315","5.6","235","5.3","148","3.9","160","4.3","150","3.9","8.1","-6.3"
". 3 enfants ou plus","","-","","-","","172","3.0","50","1.1","44","1.1","55","1.5","53","1.4","25.0","-3.6"
